player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal,medal_score
77809,Pascal Gentil,M,France,FRA,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Heavyweight,Bronze,1
77810,Pascal Gentil,M,France,FRA,2004,Summer,Athina,Taekwondo,Taekwondo Men's Heavyweight,Bronze,1
77818,Giuseppe Gentile,M,Italy,ITA,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,Bronze,1
77820,Mario Gentili,M,Italy,ITA,1936,Summer,Berlin,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,2
77823,James Gentle,M,United States,USA,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Bronze,1
77832,Inga (-dahlgren),F,Sweden,SWE,1928,Summer,Amsterdam,Athletics,Athletics Women's 800 metres,Bronze,1
77834,Hans Gentzel,M,Sweden,SWE,2000,Summer,Sydney,Handball,Handball Men's Handball,Silver,2
77845,Harald Genzmer,M,Germany,GER,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Bronze,1
77846,Charles Guyot,M,France,FRA,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Literature,Gold,3
77864,Nikolaos Georgantas,M,Greece,GRE,1904,Summer,St. Louis,Athletics,Athletics Men's Discus Throw,Bronze,1
77865,Nikolaos Georgantas,M,Greece,GRE,1906,Summer,Athina,Athletics,Athletics Men's Stone Throw,Gold,3
77866,Nikolaos Georgantas,M,Greece,GRE,1906,Summer,Athina,Athletics,Athletics Men's Discus Throw,Silver,2
77867,Nikolaos Georgantas,M,Greece,GRE,1906,Summer,Athina,Athletics,"Athletics Men's Discus Throw, Greek Style",Silver,2
77874,Ioannis Georgas,M,"Large boat, Central Naval Prep School ""Poros""-1",GRE,1906,Summer,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold,3
77877,Maria Georgatou,F,Greece,GRE,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,1
77879,Bevan George,M,Australia,AUS,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,3
77880,Bevan George,M,Australia,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,1
77884,Christopher George,M,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold,3
77895,Henry George,M,Belgium,BEL,1920,Summer,Antwerpen,Cycling,Cycling Men's 50 kilometres,Gold,3
77899,James George,M,United States,USA,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,1
77900,James George,M,United States,USA,1960,Summer,Roma,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,2
77906,Maureen George,F,Zimbabwe,ZIM,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Gold,3
77908,Paul George,M,United States,USA,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold,3
77909,Peter George,M,United States,USA,1948,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Silver,2
77910,Peter George,M,United States,USA,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Middleweight,Gold,3
77911,Peter George,M,United States,USA,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middleweight,Silver,2
77920,Rowland George,M,Great Britain,GBR,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold,3
77944,Elena Georgescu-nedelcu,F,Romania,ROU,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Silver,2
77945,Elena Georgescu-nedelcu,F,Romania,ROU,1996,Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,Gold,3
77946,Elena Georgescu-nedelcu,F,Romania,ROU,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold,3
77947,Elena Georgescu-nedelcu,F,Romania,ROU,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold,3
77948,Elena Georgescu-nedelcu,F,Romania,ROU,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze,1
77954,Pierre Georget,M,France,FRA,1936,Summer,Berlin,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,2
77955,Pierre Georget,M,France,FRA,1936,Summer,Berlin,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,1
77957,Ioannis Georgiadis,M,Greece,GRE,1896,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold,3
77960,Ioannis Georgiadis,M,Greece,GRE,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold,3
77961,Ioannis Georgiadis,M,Greece,GRE,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Silver,2
77967,Boris Georgiev,M,Bulgaria,BUL,2004,Summer,Athina,Boxing,Boxing Men's Light-Welterweight,Bronze,1
77976,Georgi Georgiev,M,Bulgaria,BUL,2004,Summer,Athina,Judo,Judo Men's Half-Lightweight,Bronze,1
77987,Ivaylo Georgiev,M,Bulgaria,BUL,1968,Summer,Mexico City,Football,Football Men's Football,Silver,2
78025,Ani (eftimova-),F,Bulgaria,BUL,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,1
78036,Kapka (-panayotova),F,Bulgaria,BUL,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Silver,2
78039,Magdalena Georgieva,F,Bulgaria,BUL,1988,Summer,Seoul,Rowing,Rowing Women's Single Sculls,Bronze,1
78040,Maya (-stoeva),F,Bulgaria,BUL,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Bronze,1
78057,Blagoja Georgievski,M,Yugoslavia,YUG,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Silver,2
78078,Geovani Silva,M,Brazil,BRA,1988,Summer,Seoul,Football,Football Men's Football,Silver,2
78090,Agnes (-mcandrews),F,United States,USA,1924,Summer,Paris,Swimming,Swimming Women's 200 metres Breaststroke,Silver,2
78098,George Geran,M,United States,USA,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,2
78110,Vincent Grard,M,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,2
78113,va Grard-novk,F,Hungary,HUN,1948,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,1
78114,va Grard-novk,F,Hungary,HUN,1952,Summer,Helsinki,Swimming,Swimming Women's 400 metres Freestyle,Silver,2
78115,va Grard-novk,F,Hungary,HUN,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,3
78116,va Grard-novk,F,Hungary,HUN,1952,Summer,Helsinki,Swimming,Swimming Women's 200 metres Breaststroke,Silver,2
78127,Aleksandra Gerasimenya,F,Belarus,BLR,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,Silver,2
78128,Aleksandra Gerasimenya,F,Belarus,BLR,2012,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,Silver,2
78131,Aleksandra Gerasimenya,F,Belarus,BLR,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Bronze,1
78136,Aleksandr Gerasimov,M,Russia,RUS,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Silver,2
78142,Irina Gerasimyonok,F,Russia,RUS,1996,Summer,Atlanta,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver,2
78150,Lyubomir Geraskov,M,Bulgaria,BUL,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,3
78166,Yarden Gerbi,F,Israel,ISR,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Bronze,1
78182,Oszkr Gerde,M,Hungary,HUN,1908,Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold,3
78184,Oszkr Gerde,M,Hungary,HUN,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",Gold,3
78190,Alfred Gerdes,M,Germany,GER,1936,Summer,Berlin,Hockey,Hockey Men's Hockey,Silver,2
78218,Geremi Fotso,M,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold,3
78225,Gyrgy Gerends,M,Hungary,HUN,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Gold,3
78226,Gyrgy Gerends,M,Hungary,HUN,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Bronze,1
78230,Aladr (-gerei),M,Hungary,HUN,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold,3
78232,Aladr (-gerei),M,Hungary,HUN,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Individual",Bronze,1
78233,Aladr (-gerei),M,Hungary,HUN,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",Gold,3
78235,Aladr (-gerei),M,Hungary,HUN,1948,Summer,London,Fencing,"Fencing Men's Sabre, Individual",Gold,3
78236,Aladr (-gerei),M,Hungary,HUN,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold,3
78237,Aladr (-gerei),M,Hungary,HUN,1952,Summer,Helsinki,Fencing,"Fencing Men's Foil, Team",Bronze,1
78238,Aladr (-gerei),M,Hungary,HUN,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Individual",Silver,2
78239,Aladr (-gerei),M,Hungary,HUN,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",Gold,3
78241,Aladr (-gerei),M,Hungary,HUN,1956,Summer,Melbourne,Fencing,"Fencing Men's Sabre, Team",Gold,3
78243,Aladr (-gerei),M,Hungary,HUN,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Gold,3
78244,Pl Gerevich,M,Hungary,HUN,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team",Bronze,1
78246,Pl Gerevich,M,Hungary,HUN,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Team",Bronze,1
78279,Istvn Gergely,M,Hungary,HUN,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold,3
78280,Istvn Gergely,M,Hungary,HUN,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Gold,3
78290,Friedrich Gerhard,M,Germany,GER,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Individual",Silver,2
78291,Friedrich Gerhard,M,Germany,GER,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Gold,3
